config,target,spearman_mean,spearman_sd,pearson_mean,pearson_sd,mse_mean,mse_sd,seeds
M0_plain,wt,0.8145734858560718,0.0,0.839126489581972,0.0,0.014141834976088457,1.734723475976807e-18,"[0.8145734858560718, 0.8145734858560718, 0.8145734858560718, 0.8145734858560718, 0.8145734858560718]"
M0_plain,esp,0.7995045751788548,0.0,0.7926945274534968,0.0,0.013262349821640046,0.0,"[0.7995045751788548, 0.7995045751788548, 0.7995045751788548, 0.7995045751788548, 0.7995045751788548]"
M0_plain,hf1,0.7965589263264767,0.0,0.8034923844975792,1.1102230246251565e-16,0.015567979982805888,0.0,"[0.7965589263264767, 0.7965589263264767, 0.7965589263264767, 0.7965589263264767, 0.7965589263264767]"
M1_weight,wt,0.8123806620831686,0.0,0.8364082280714665,1.1102230246251565e-16,0.014387564533610026,1.734723475976807e-18,"[0.8123806620831686, 0.8123806620831686, 0.8123806620831686, 0.8123806620831686, 0.8123806620831686]"
M1_weight,esp,0.7980710541320645,0.0,0.7911652551474069,0.0,0.013347172211978179,0.0,"[0.7980710541320645, 0.7980710541320645, 0.7980710541320645, 0.7980710541320645, 0.7980710541320645]"
M1_weight,hf1,0.7951188979411592,0.0,0.8018239803184419,0.0,0.015699503856532727,0.0,"[0.7951188979411592, 0.7951188979411592, 0.7951188979411592, 0.7951188979411592, 0.7951188979411592]"
M2_mtl_direct,wt,0.8158685972051609,0.00025953776553673855,0.8399385128739338,0.0002012072123470745,0.01413175309802664,1.66004903572848e-05,"[0.8162826436776862, 0.8156281043325835, 0.8156451899004128, 0.816061414551294, 0.8157256335638279]"
M2_mtl_direct,esp,0.8003356383385984,0.0005855732290119844,0.7934336011153871,0.0004904133186301161,0.01328402774307704,2.18574999365438e-05,"[0.7998396568757813, 0.8014800443164946, 0.8000959710823272, 0.8002256941757103, 0.8000368252426785]"
M2_mtl_direct,hf1,0.7964549857137788,0.00019247738124435724,0.8037059867588221,0.0002398693438258123,0.015632379479786913,1.562438544687831e-05,"[0.7967319881962587, 0.7961371385274651, 0.7964711179318615, 0.7964085418700486, 0.7965261420432598]"
M3_residual,wt,0.8158685972051609,0.00025953776553673855,0.8399385128739338,0.0002012072123470745,0.01413175309802664,1.66004903572848e-05,"[0.8162826436776862, 0.8156281043325835, 0.8156451899004128, 0.816061414551294, 0.8157256335638279]"
M3_residual,esp,0.7957594185282997,0.0003891924286840879,0.7790943607336313,0.00034604486123515274,0.013917402344331106,2.0715028668756673e-05,"[0.7964540929855526, 0.7954392098278178, 0.7953819707378796, 0.7958829264262226, 0.7956388926640262]"
M3_residual,hf1,0.7959745196913668,0.0004218459851899743,0.8012058929572824,0.0004910459400589511,0.015561139045648126,3.260835898242531e-05,"[0.7962988198471088, 0.7954093608345661, 0.7955098056546428, 0.7963146673975243, 0.7963399447229909]"
M4_bagging_avg,wt,0.8120274228547469,0.0005286872793427586,0.8346224353852232,0.0005803061255114293,0.014974592971629553,7.850680654902407e-05,"[0.8115732176686267, 0.8114780798871343, 0.8125556074953769, 0.8127638565035944, 0.8117663527190018]"
M4_bagging_avg,esp,0.7953062732427894,0.0005991650819113178,0.7804587253716279,0.0005764837693603226,0.014222171426127157,5.1588552693963866e-05,"[0.7951295689502806, 0.7943428909415805, 0.7953847660909029, 0.7962017702280658, 0.7954723700031169]"
M4_bagging_avg,hf1,0.7950345817141368,0.000750857705153206,0.8000211110843963,0.0005336617458876517,0.016117504245320297,4.3975482084133747e-05,"[0.794419160356771, 0.7940169522782553, 0.7957707785862934, 0.7959628336628831, 0.795003183686481]"
M5_bagging_stack,wt,0.8144637348210386,0.0004498515517190356,0.841300546361671,0.0005454405451654181,0.013823298215835281,4.328056435155992e-05,"[0.81427717069826, 0.8137380915574106, 0.8148555045172261, 0.8150081688886576, 0.8144397384436388]"
M5_bagging_stack,esp,0.8024322115761899,0.0003535327568723472,0.7982463213057198,0.00035352618644234486,0.01276665023240823,1.9329953344664033e-05,"[0.8024562846938653, 0.8018143854994366, 0.8026461165349027, 0.8028718763337042, 0.8023723948190407]"
M5_bagging_stack,hf1,0.8049049331706811,0.0008079995973468664,0.8184040182142824,0.0007360999817964485,0.014231309307787179,5.191549462247391e-05,"[0.8040919963465701, 0.8040198325632033, 0.8062166921447455, 0.8049868738117767, 0.8052092709871101]"
M6_merci,wt,0.8136240749991007,0.000465853255089038,0.839560314154479,0.0005090401623708826,0.013971744565975386,4.094583489878625e-05,"[0.813220858846545, 0.8129738859151224, 0.8142154539967489, 0.8140022341755927, 0.8137079420614941]"
M6_merci,esp,0.8024551883472026,0.000496997540329185,0.7984047230567223,0.0004915490663901083,0.01276213999228106,2.7127064057464275e-05,"[0.8023778433322444, 0.8015933681995304, 0.8030417082959121, 0.802831675365971, 0.8024313465423559]"
M6_merci,hf1,0.804788794939277,0.0008860156248061152,0.8180732820754579,0.0009122558155234097,0.014255042746369004,6.418566103720689e-05,"[0.8038757594334115, 0.803915764939955, 0.8063022061039717, 0.804954445088551, 0.8048957991304958]"
