dataset,n,removed,label_min,label_max,label_mean,label_sd,in_0_1,raw_mse,spearman,pearson,norm_mse,pred_min,pred_max
Chari_293T_2015,1105,45,0.002076469,4.935526901,1.038460612760181,0.9116770501567808,False,0.9033631827352693,0.42456478619850446,0.3967324347578075,0.03711597285760626,0.08924628674471807,0.936397729206236
Doench_A375_2016,2332,0,-4.208532846,3.921440194,-0.16820712612650096,1.741133556770204,False,3.353187977013971,0.3691601791544319,0.39553286560935397,0.05073173199085218,0.09049845357891245,0.93340853893005
Doench_Mm_2014,945,0,0.003610108,0.996389892,0.49915265680740745,0.2872056500318486,True,0.07853728785291166,0.490833037436034,0.5043937062668262,0.07968380234450612,0.09006586364706759,0.9320793209927702
Doench_NB4_2014,873,8,0.0,0.996323529,0.4950522390607102,0.2789110204225584,True,0.07833332274478236,0.5134135090705643,0.5198091535902378,0.07891249512861047,0.09467735000506274,0.9314221823731818
Hart_Hct116_2016,4172,0,-2.801916667,5.953166667,1.7372577700503355,1.6428006142030178,False,3.57893173974608,0.352311604558459,0.35067481153053076,0.04669096466671103,0.1366589273384233,0.9371363757504446
Hart_hela_2016,3566,0,-2.82,4.99125,1.4264372546259114,1.5812126859580045,False,2.8656909335315395,0.3573124985745599,0.3536150318867821,0.046966508335305426,0.11694674575320614,0.9365800926371877
Moreno_Zb_2015,1020,0,0.002941176,1.0,0.5004901960764706,0.2886749795450572,True,0.13009051395320675,0.23209167162234523,0.23086887437632267,0.13085914148671784,0.09006586364706759,0.9358975464220827
Ren_Ff_2015,39,0,0.09,1.0,0.5710512820512821,0.2565241977607919,True,0.0929392035552365,0.17469635627530367,0.17883511239712366,0.11223186034927728,0.15478751526676907,0.9193833895237691
Varshney_Zb_2015,88,0,0.0143,1.0,0.35003863636363636,0.23219449401888484,True,0.16415961460753706,0.32522523599697667,0.3516593770744401,0.16895724165245166,0.14744306160077433,0.9215004067549335
Wang_HL60_2014,1998,78,0.027782885,0.692699499,0.23070147060060062,0.11399809974391122,True,0.1969416415979552,0.4374583181784415,0.4302649314466958,0.4454543295638991,0.09443639871870108,0.9374313828686124
