family,n_features,WT_rho,eSp_rho,HF1_rho,WT_mse
sequence,178,0.8109600177737718,0.7982529569851706,0.8043044009717497,0.014187501817797248
+thermodynamic,182,0.8115184454913591,0.7985438522852573,0.8038642455224381,0.014220688372146174
+DNA-shape,217,0.8133194685259603,0.8015148711655111,0.8037445525033473,0.014009183538751356
+interaction (full),225,0.813220858846545,0.8023778433322444,0.8038757594334115,0.014009256063225785
